Interval,Expected,Actual,Expected Normalized Square of Difference
4.16076,0.6105285121305029,0.18,0.3035972867352086
8.32152,0.7696651374705366,0.12666666666666668,0.5371778106188968
12.48228,0.8425757161094714,0.12333333333333334,0.6139621582854703
16.64304,0.8839158888246013,0.1,0.6952291824608291
20.8038,0.9101904451530891,0.10333333333333333,0.7152551450752926
24.96456,0.9281496699286789,0.07333333333333333,0.7872770879360831
29.12532,0.9410667810256061,0.056666666666666664,0.8311456509236009
33.28608,0.950716407039411,0.043333333333333335,0.8660248590978173
37.446839999999995,0.9581405134524298,0.04,0.8798104146595448
41.60759999999999,0.9639887955956383,0.03,0.9049224164054568
45.76835999999999,0.9686859151249609,0.013333333333333334,0.9422027731436459
49.92911999999998,0.9725202146758277,0.03333333333333333,0.9069960549661825
54.08987999999998,0.9756937300988844,0.013333333333333334,0.9492092699713125
58.250639999999976,0.9783518168378285,0.006666666666666667,0.9650639113799071
62.41139999999997,0.980601438855816,0.01,0.9607034170867644
66.57215999999997,0.9825228596826789,0.0,0.9825228596826789
70.73291999999996,0.9841773430412546,0.013333333333333334,0.9576913122925298
74.89367999999996,0.9856123587312767,0.0033333333333333335,0.9789569653720243
79.05443999999996,0.9868651831980246,0.006666666666666667,0.9735768858485329
83.21519999999995,0.9879654405886962,0.006666666666666667,0.97467709308444
87.37595999999995,0.9889369286349333,0.0033333333333333335,0.9822814973775121
91.53671999999995,0.989798952005926,0.0,0.989798952005926
95.69747999999994,0.9905673102910797,0.0,0.9905673102910797
99.85823999999994,0.9912550398223101,0.0033333333333333335,0.9845995822901898
104.01899999999993,0.9918729774290743,0.006666666666666667,0.9785844527007295


Sum,21.65183434969166
