Interval,P(X),Actual,Expected,Expected Normalized Square of Difference
3.0513600000000003,19.164286650858642%,62,57.49285995257593,0.3533362477332059
6.102720000000001,22.481313472861803%,62,67.44394041858541,0.43942401789058344
9.15408,15.325070270714997%,50,45.97521081214499,0.35234048350237146
12.205440000000001,10.390980958784201%,33,31.172942876352604,0.10708445931176315
15.256800000000002,7.261592658821215%,31,21.784777976463644,3.898149296486644
18.30816,5.233561682291477%,12,15.70068504687443,0.8722593807386964
21.35952,3.8749837625898786%,15,11.624951287769637,0.9798711003556645
24.41088,2.9357358709588888%,11,8.807207612876667,0.5459549342286386
27.462239999999998,2.268127916993312%,9,6.8043837509799365,0.7084742556247909
30.513599999999997,1.7820609033108004%,3,5.3461827099324015,1.0296268584609127
33.56496,1.4207248629774294%,3,4.262174588932288,0.37377274433647056
36.61632,1.1471957028052704%,1,3.441587108415811,1.7321507258685473
39.667680000000004,0.9368138123719616%,4,2.810441437115885,0.5034972641106038
42.71904000000001,0.7727083729024198%,1,2.3181251187072593,0.7495082187522071
45.77040000000001,0.6430872366501861%,0,1.9292617099505582,1.9292617099505582
48.82176000000001,0.5395490894599786%,0,1.6186472683799358,1.6186472683799358
51.873120000000014,0.45600512236226853%,1,1.3680153670868056,0.0990013077853404
54.92448000000002,0.38797403513746165%,0,1.163922105412385,1.163922105412385
57.97584000000002,0.33211140376067094%,0,0.9963342112820128,0.9963342112820128
61.02720000000002,0.28588950355253884%,1,0.8576685106576165,0.023620142988446703
64.07856000000002,0.24737571084285648%,0,0.7421271325285694,0.7421271325285694
67.12992000000003,0.2150767064383996%,0,0.6452301193151988,0.6452301193151988
70.18128000000003,0.18782735655963334%,0,0.5634820696789,0.5634820696789
73.23264000000003,0.16471040619768784%,0,0.4941312185930635,0.4941312185930635
76.28400000000003,0.14499773052180087%,1,0.4349931915654026,0.7338797474706041


Sum,21.655087020786112
