Interval,Expected,Actual,Expected Normalized Square of Difference
1.175,0.22666666666666666,0.18832084674466526,0.007807961417485569
2.35,0.19666666666666666,0.4390178769931704,0.1337852334146178
3.5250000000000004,0.15666666666666668,0.6079338783586139,0.33497408780383575
4.7,0.09,0.7180915947511559,0.5493714928299058
5.875,0.05333333333333334,0.7917176416048293,0.6886437260592299
7.05,0.06666666666666667,0.8424502689432036,0.7143925519973157
8.225,0.03333333333333333,0.8784086255654288,0.8130068726060882
9.4,0.04,0.9045332980255834,0.826302166019158
10.575000000000001,0.03333333333333333,0.9239248074432596,0.8584607398432701
11.750000000000002,0.023333333333333334,0.9385890763333342,0.892502476554481
12.925000000000002,0.013333333333333334,0.9498605010058851,0.9233809963252044
14.100000000000003,0.006666666666666667,0.958649130062073,0.9453621582629554
15.275000000000004,0.016666666666666666,0.9655894971038697,0.932543840654565
16.450000000000003,0.01,0.971132831593301,0.9512358041185279
17.625000000000004,0.013333333333333334,0.975605705498062,0.9491212618101827
18.800000000000004,0.0033333333333333335,0.9792482305462926,0.9725929104521952
19.975000000000005,0.0,0.9822394778189549,0.9822394778189549
21.150000000000006,0.0,0.9847147270128684,0.9847147270128684
22.325000000000006,0.0033333333333333335,0.9867773804234478,0.9801219737545593
23.500000000000007,0.006666666666666667,0.9885073255211323,0.9752189533563173
24.675000000000008,0.0,0.9899668917788107,0.9899668917788107
25.85000000000001,0.0,0.9912051514685079,0.9912051514685079
27.02500000000001,0.0033333333333333335,0.9922610635797431,0.9856055946830172
28.20000000000001,0.0,0.9931657985102413,0.9931657985102413


Sum,19.375722848552297
