Interval,P(X),Actual,Expected,Expected Normalized Square of Difference
2.3631200000000003,23.546697142382477%,70,70.64009142714744,0.005800063771579272
4.726240000000001,18.944593661959942%,37,56.83378098587982,6.921567795983548
7.089360000000001,12.349378382751453%,41,37.04813514825436,0.4215390530175834
9.452480000000001,8.552281757258084%,35,25.65684527177425,3.4023879144487847
11.815600000000002,6.224249248639668%,25,18.672747745919004,2.1439866071945755
14.178720000000002,4.703252755735443%,18,14.10975826720633,1.0725896541221158
16.54184,3.658561447261599%,14,10.975684341784797,0.8333407663433504
18.904960000000003,2.912310710089294%,7,8.736932130267883,0.3453080761272234
21.268080000000005,2.3622444691021705%,6,7.086733407306511,0.16664793645805895
23.631200000000007,1.9462491142842708%,4,5.8387473428528125,0.5790611568399062
25.99432000000001,1.6248514717230655%,6,4.874554415169197,0.25984483022150945
28.35744000000001,1.3720080065079632%,8,4.1160240195238895,3.6650100546935858
30.720560000000013,1.1699851181211862%,3,3.5099553543635587,0.07409053312338128
33.083680000000015,1.0063785586186702%,4,3.0191356758560106,0.3186656466194299
35.44680000000002,0.8723083052784908%,2,2.6169249158354724,0.14543648137382517
37.80992000000002,0.7612875179107137%,2,2.283862553732141,0.03528143551355899
40.17304000000002,0.6684926102638711%,5,2.0054778307916132,4.471334902934795
42.536160000000024,0.5902798240175477%,3,1.7708394720526432,0.853174794953357
44.899280000000026,0.5238576463459932%,2,1.5715729390379796,0.11679365430974693
47.26240000000003,0.46706026161144054%,1,1.4011807848343216,0.11486456555947763
49.62552000000003,0.4181879888903728%,2,1.2545639666711184,0.442922716216324
51.98864000000003,0.37589303409806263%,3,1.1276791022941879,3.1086729698670643
54.351760000000034,0.3390964586248102%,1,1.0172893758744306,0.0002938421703956139
56.714880000000036,0.3069270100486077%,0,0.920781030145823,0.920781030145823
59.07800000000004,0.278675495561731%,1,0.836026486685193,0.03216083879759381


Sum,30.451557320806593
